OID,Owner_name,Networth
60001,CVC Capital Partners,13 Billion USD
60002,Deccan Chronicle,0.1 Billion USD
60003,GMR & JSW Group,10 Billion
60004,India Cements Limited,1.5 Billion USD
60005,Intex Technologies,4.5 Billion
60006,Kochi Cricket Pvt Ltd.,0 Billion USD
60007,Ness Wadia & Others,3.8 Billion USD
60008,Red Bird Capital Partners,7.5 Billion USD
60009,Red Chillies Entertainment,4 Billions USD
60010,Reliance Industries,220 Billion USD
60011,RPSG Group,7 Billion USD
60012,RPSG Group,7 Billion USD
60013,Sahara Group,10 Billion USD
60014,Sun TV Network,2.3 Billion USD
60015,United Spirits Limited,1.1 Billion USD
