SID,Stadium_Name,City_ID,Capacity,Coutry,Nation_ID
20001,Barabati Stadium,10009,45000,India,80006
20002,Brabourne Stadium,10023,50000,India,80006
20003,Buffalo Park,10014,15000,South Africa,80016
20004,De Beers Diamond Oval,10020,11000,South Africa,80016
20005,Dr DY Patil Sports Academy,10023,55000,India,80006
20006,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,10031,25000,India,80006
20007,Dubai International Cricket Stadium,10012,25000,United Arab Emirates,80018
20008,Eden Gardens,10022,80000,India,80006
20009,Feroz Shah Kotla,10010,41000,India,80006
20010,Green Park,10019,32000,India,80006
20011,Himachal Pradesh Cricket Association Stadium,10011,23000,India,80006
20012,Holkar Cricket Stadium,10016,30000,India,80006
20013,JSCA International Stadium Complex,10029,39000,India,80006
20014,Kingsmead,10013,25000,South Africa,80016
20015,M Chinnaswamy Stadium,10003,40000,India,80006
20016,MA Chidambaram Stadium,10008,40000,India,80006
20017,Maharashtra Cricket Association Stadium,10026,37000,India,80006
20018,Narendra Modi Stadium,10002,130000,India,80006
20019,Nehru Stadium,10021,80000,India,80006
20020,New Wanderers Stadium,10018,34000,South Africa,80016
20021,Newlands,10005,51000,South Africa,80016
20022,OUTsurance Oval,10004,20000,South Africa,80016
20023,Punjab Cricket Association IS Bindra Stadium,10007,27000,India,80006
20024,Rajiv Gandhi International Stadium,10015,55000,India,80006
20025,Saurashtra Cricket Association Stadium,10028,28000,India,80006
20026,Sawai Mansingh Stadium,10017,30000,India,80006
20027,Shaheed Veer Narayan Singh International Stadium,10027,65000,India,80006
20028,Sharjah Cricket Stadium,10030,16000,United Arab Emirates,80018
20029,Sheikh Zayed Stadium,10001,20000,United Arab Emirates,80018
20030,St George's Park,10025,19000,South Africa,80016
20031,Subrata Roy Sahara Stadium,10026,37000,India,80006
20032,SuperSport Park,10006,22000,South Africa,80016
20033,Vidarbha Cricket Association Stadium,10024,45000,India,80006
20034,Wankhede Stadium,10023,33000,India,80006
