TID,Team_Name,No_of_Seasons,Matches_Won,Win_Percentage,No_Of_Matches,No_of_Home_Matches,No_of_Away_Matches
50001,Rajasthan Royals,13,96,50,192,89,103
50002,Deccan Chargers,5,29,38.67,75,39,36
50003,Chennai Super Kings,13,121,58.17,208,111,97
50004,Kolkata Knight Riders,15,114,51.12,223,105,118
50005,Mumbai Indians,15,131,56.71,231,112,119
50006,Sunrisers Hyderabad,10,75,49.34,152,69,83
50007,Gujarat Titans,1,12,75,16,7,9
50008,Delhi Capitals,15,103,45.98,224,114,110
50009,Punjab Kings,15,101,46.33,218,110,108
50010,Royal Challengers Bangalore,15,109,48.23,226,126,100
50011,Lucknow Super Giants,1,9,60,15,8,7
50012,Gujarat Lions,2,13,43.33,30,16,14
50013,Kochi Tuskers Kerala,1,6,42.86,14,7,7
50014,Pune Warriors India,3,12,26.09,46,23,23
50015,Rising Pune Supergiants,2,15,50,30,14,16
50001,Rajasthan Royals,13,96,50,192,89,103
50002,Deccan Chargers,5,29,38.67,75,39,36
50003,Chennai Super Kings,13,121,58.17,208,111,97
50004,Kolkata Knight Riders,15,114,51.12,223,105,118
50005,Mumbai Indians,15,131,56.71,231,112,119
50006,Sunrisers Hyderabad,10,75,49.34,152,69,83
50007,Gujarat Titans,1,12,75,16,7,9
50008,Delhi Capitals,15,103,45.98,224,114,110
50009,Punjab Kings,15,101,46.33,218,110,108
50010,Royal Challengers Bangalore,15,109,48.23,226,126,100
50011,Lucknow Super Giants,1,9,60,15,8,7
50012,Gujarat Lions,2,13,43.33,30,16,14
50013,Kochi Tuskers Kerala,1,6,42.86,14,7,7
50014,Pune Warriors India,3,12,26.09,46,23,23
50015,Rising Pune Supergiants,2,15,50,30,14,16
